"","state","year","pres_win","pres_percent_vote","poll_trend","lag_pres_vote","lag_participation","per_white","change_house_percent_vote","lag_vote_spread","lower_pred","pred","upper_pred","prob_win"
"181","Kentucky",1996,1,45.84,45.9281215333333,44.5511420724764,0.396471196549487,0.9096517826732,-0.290646473331817,3.21026190635676,43.45,48.46,53.47,56.47
"182","Kentucky",2000,0,41.38,40.6389606666667,45.8421784853259,0.354304273338547,0.90648072706958,0.0303220440367079,0.959957024802911,38.69,43.69,48.7,1.52
"183","Kentucky",2004,0,39.69,38.5783151333333,41.3781825859106,0.381352924571149,0.900482405035478,-0.0945919201446571,-15.1283007772782,35.73,40.73,45.73,0.11
"184","Kentucky",2008,0,41.17,41.3675166666667,39.6870729814097,0.433149602481946,0.89398789429443,0.27699629987969,-19.8624408507909,37.73,42.75,47.76,1.06
"185","Kentucky",2012,0,37.8,37.9550746666667,41.1681137839288,0.425797656716578,0.886589657997796,-0.2211627367901,-16.2309073589471,34.27,39.28,44.29,0.04
"186","Kentucky",2016,0,32.68,32.3681473333333,37.8013278344458,0.409728735489631,0.879504490802766,-0.0274950387975949,-22.6918137648758,28.15,33.18,38.2,0
"187","Kentucky",2020,NA,NA,39.00172125,32.6821883336478,0.43354441075197,0.875158723568175,0.0739859366763492,-29.8374502182523,32.57,37.63,42.69,0.03
"188","Louisiana",1980,0,45.75,38.2346043333333,51.774996222746,0.323254216734537,0.696422605095166,NA,5.78675307249274,NA,NA,NA,NA
"189","Louisiana",1984,0,38.18,NA,45.7482317797275,0.366695231773997,0.69013497182349,0.995883330538064,-5.45011562123246,NA,NA,NA,NA
"190","Louisiana",1988,0,44.06,38.3465519333333,38.1753926302801,0.387872306483347,0.681425992321035,-0.504644930772666,-22.5983142940506,36.59,41.64,46.69,0.81
"191","Louisiana",1992,1,45.58,39.10575,44.0645571004089,0.379635236318098,0.679986014451888,0.00939127558956141,-10.2101581990441,38.2,43.2,48.2,0.99
"192","Louisiana",1996,1,52.01,46.3726978,45.5845391412484,0.416961506898551,0.654279262639078,0.999971659613059,4.61364333411358,44.52,49.67,54.82,99
"193","Louisiana",2000,0,44.88,39.2804902666667,52.0099957454179,0.405548734370159,0.647212752564075,-0.611104319887318,12.0659163130991,38.55,43.62,48.69,6.9
"194","Louisiana",2004,0,42.22,36.2325051333333,44.8753324543399,0.394834840341377,0.640993726602168,-0.105257015398911,-7.67573071991373,34.35,39.35,44.36,0.03
"195","Louisiana",2008,0,39.93,41.3854902,42.2158647032123,0.426846311638363,0.644015018534191,-0.572838589557769,-14.5061566378777,37.85,42.9,47.94,2.41
"196","Louisiana",2012,0,40.58,36.4267219333333,39.9329138023451,0.442052301544824,0.636728499977831,1.37765872664195,-18.6298075084113,33.09,38.37,43.65,8.89
"197","Louisiana",2016,0,38.45,36.8211473333333,40.5774636233022,0.433400811828457,0.631674588270753,-0.490510729772373,-17.2071121051721,32.54,37.59,42.64,0.02
"198","Louisiana",2020,NA,NA,38.54387,38.449566098514,0.433726688092584,0.627871013428429,0.0221882106626183,-19.6391185550548,33.37,38.4,43.42,0.03
"199","Maine",1980,0,42.25,36.9956751333333,48.0940766261947,0.443106169033726,0.991342314040786,NA,-0.836701396365804,NA,NA,NA,NA
"200","Maine",1984,0,38.78,NA,42.2503541990513,0.464131302912518,0.988406363952601,0.0834256600947372,-3.35518755819667,NA,NA,NA,NA
"201","Maine",1988,0,43.88,38.2217698666667,38.7810407416514,0.478649814733731,0.986317118553961,-0.0509945040438577,-22.0530277830005,37.06,42.09,47.12,0.75
"202","Maine",1992,1,38.77,34.0797714444444,43.8835388759267,0.461053794524189,0.982536245224092,0.400791526058798,-11.4518904213248,34.01,39.06,44.11,0.08
"203","Maine",1996,1,51.62,49.3907036666667,38.76679730213,0.54864320618034,0.978265255472115,-0.145970780401933,8.37617126736022,45.22,50.34,55.45,98.88
"204","Maine",2000,1,49.09,43.1073993333333,51.6239558868917,0.485082381951227,0.971817172406881,0.44144171174072,20.8632820429875,42.23,47.31,52.39,70.69
"205","Maine",2004,1,53.57,49.3414507333333,49.086016473949,0.510399570266986,0.965374579047689,-0.136233380374241,5.11416547896112,47.05,52.06,57.07,96.86
"206","Maine",2008,1,57.71,53.9403886666667,53.5728556925935,0.563872091394608,0.958319710727248,0.11959088771854,8.99639825474652,51.95,57,62.05,99.98
"207","Maine",2012,1,55.37,51.3660265333333,57.705737297976,0.549536305278656,0.953186230021337,-0.144001133927621,17.3217189600677,49.87,54.91,59.95,99.87
"208","Maine",2016,1,46.35,45.3872,55.3710341934825,0.545862898226973,0.947816335252986,-0.116873544963585,15.0436421536568,43.51,48.56,53.61,78.27
"209","Maine",2020,NA,NA,53.22818125,46.3452140973089,0.579795796192793,0.944290037583357,0.103766636626197,2.86853601281008,48.22,53.3,58.38,99.79
"210","Maryland",1980,1,47.14,42.2489387333333,53.0354199234364,0.343295226517282,0.753649255625416,NA,6.07083984687277,NA,NA,NA,NA
"211","Maryland",1984,0,47.02,36.7150969333333,47.1381295374996,0.364386491480004,0.738021179104225,0.0403978826458354,2.95716444573696,37.33,42.36,47.4,0.95
"212","Maryland",1988,0,48.2,44.9234806,47.0163908601666,0.383912613401398,0.724556307849262,-0.0757589368858032,-5.48866173033398,44.45,49.46,54.48,75.79
"213","Maryland",1992,1,49.81,42.795946,48.1990342740548,0.368053606955748,0.705441275159606,-0.175352750167872,-2.90855235604232,42.23,47.24,52.25,30.7
"214","Maryland",1996,1,54.25,52.2750027333333,49.8126051859839,0.403093979568458,0.681222327291194,-0.0507137635386569,14.1832024912072,50.27,55.28,60.3,99.81
"215","Maryland",2000,1,56.49,50.5138831333333,54.2547743518617,0.348371454851402,0.658262402387181,0.107304182227229,15.9852768590633,49.26,54.28,59.29,99.64
"216","Maryland",2004,1,55.97,53.3070928666667,56.4883083845049,0.38132160328855,0.639099070026961,-0.000394027732945623,16.3035277294426,51.91,56.92,61.93,99.96
"217","Maryland",2008,1,61.92,57.9193978666667,55.9717612084029,0.429829806911384,0.620252367428823,0.185778284464863,12.9935434298086,55.72,60.75,65.77,100
"218","Maryland",2012,1,61.97,56.9105317333333,61.9193447626459,0.462904520960111,0.607102574625547,-0.0641637096806594,25.4448251175332,55.51,60.53,65.55,100
"219","Maryland",2016,1,60.33,60.9012666666667,61.9741907793185,0.459882907943479,0.593949051217134,-0.0502323045118202,26.0764584403731,58.59,63.62,68.65,100
"220","Maryland",2020,NA,NA,62.40194875,60.3285485319506,0.463317732529134,0.585450106522343,0.136949397784275,26.4099321000659,59.1,64.14,69.19,100
"221","Massachusetts",1980,0,41.75,31.6891471333333,56.1115782251081,0.443140806155229,0.947343012404119,NA,15.6698689490092,NA,NA,NA,NA
"222","Massachusetts",1984,0,48.43,42.2745036,41.7497791283195,0.43927202481694,0.935400342488855,0.0269194020260142,-0.151698235799834,41.19,46.22,51.24,22.34
"223","Massachusetts",1988,1,53.23,46.7192518,48.4337826734021,0.438192438193979,0.924195102226879,-0.118538860210065,-2.78699983550723,46.46,51.48,56.51,95.9
